place,movie_title,rating,year,duration
1,1. Maharaja,8.7,2024,N/A
2,2. Indian 2,5.9,1996,N/A
3,3. Indian,8.1,1h 46m,N/A
4,4. Kurangu Bommai,7.9,2021,N/A
5,5. Harom Hara,8.4,2h 13m,N/A
6,6. Jai Bhim,8.7,2024,N/A
7,7. Garudan,7.2,UA,N/A
8,8. Jailer,7.1,2023,N/A
9,9. Aranmanai 4,5.2,2h 2m,N/A
10,10. Weapon,8.6,UA,N/A
11,11. Soorarai Pottru,8.7,2024,N/A
12,12. Leo,7.2,A,N/A
13,13. Teenz,6.0,2024,N/A
14,14. Vikram,8.3,A,N/A
15,15. Vikram Vedha,8.2,2023,N/A
16,16. Hit List,5.4,U,N/A
17,17. Viduthalai Part 1,8.3,2018,N/A
18,18. Por Thozhil,8.0,N/A,N/A
19,19. Haraa,7.0,N/A,N/A
20,20. Raayan,7.4,N/A,N/A
21,21. Hot Spot,8.2,N/A,N/A
22,22. Chithha,6.9,N/A,N/A
23,23. PT Sir,8.0,N/A,N/A
24,24. Jigarthanda Double X,8.5,N/A,N/A
25,25. 96,N/A,N/A,N/A
26,Recently viewed,N/A,N/A,N/A
